MATCH,District,Ward,Precinct,SH18_EMalia,Ture R. Turnbull,SH18_CClemonsMuhammad
Boston Ward 11 Precinct 1,11-1,11,1,127,45,58
Boston Ward 11 Precinct 2,11-2,11,2,191,45,125
Boston Ward 11 Precinct 3,11-3,11,3,110,22,97
Boston Ward 11 Precinct 4,11-4,11,4,315,85,114
Boston Ward 11 Precinct 5,11-5,11,5,261,70,65
Boston Ward 11 Precinct 6,11-6,11,6,313,74,33
Boston Ward 11 Precinct 7,11-7,11,7,337,156,47
Boston Ward 11 Precinct 8,11-8,11,8,410,165,34
Boston Ward 11 Precinct 9,11-9,11,9,315,73,14
Boston Ward 11 Precinct 10,11-10,11,10,363,80,22
Boston Ward 12 Precinct 7,12-7,12,7,141,33,278
Boston City Ward 12 Precinct 9,12-9,12,9,93,19,92
Boston City Ward 14 Precinct 3,14-3,14,3,99,10,82
Boston City Ward 19 Precinct 6,19-6,19,6,541,182,35
Boston City Ward 19 Precinct 7,19-7,19,7,469,114,33
Boston City Ward 19 Precinct 9,19-9,19,9,242,60,9
Boston City Ward 19 Precinct 10,19-10,19,10,409,72,48
Boston City Ward 19 Precinct 11,19-11,19,11,241,45,47
Boston City Ward 19 Precinct 13,19-13,19,13,189,33,36
