MATCH,District,City/Town,Ward,Precinct,SH16_DCullinane,SH16_JLacet,Carlotta Williams,Total Votes Cast
Boston City Ward 16 Precinct 8,16-8,Boston,16,8,216,22,7,258
Boston City Ward 16 Precinct 11,16-11,Boston,16,11,228,39,9,285
Boston City Ward 17 Precinct 4,17-4,Boston,17,4,151,99,32,291
Boston City Ward 17 Precinct 10,17-10,Boston,17,10,60,52,24,141
Boston City Ward 17 Precinct 11,17-11,Boston,17,11,31,20,5,58
Boston City Ward 17 Precinct 12,17-12,Boston,17,12,44,61,13,121
Boston City Ward 17 Precinct 13,17-13,Boston,17,13,153,60,13,239
Boston City Ward 17 Precinct 14,17-14,Boston,17,14,119,111,10,246
Boston City Ward 18 Precinct 1,18-1,Boston,18,1,85,135,32,267
Boston City Ward 18 Precinct 2,18-2,Boston,18,2,62,90,21,179
Boston City Ward 18 Precinct 3,18-3,Boston,18,3,84,96,34,218
Boston City Ward 18 Precinct 4,18-4,Boston,18,4,82,110,21,222
Boston City Ward 18 Precinct 5,18-5,Boston,18,5,136,101,18,261
Boston City Ward 18 Precinct 6,18-6,Boston,18,6,119,116,63,302
Boston City Ward 18 Precinct 21,18-21,Boston,18,21,94,101,42,248
Milton Town Precinct 1,--1,Milton,-,1,192,150,58,438
Milton Town Precinct 2,--2,Milton,-,2,422,106,54,693
