MATCH,City/Town,District,Ward,Precinct,SH18_DCullinane,SH18_JLacet
Boston City Ward 16 Precinct 8,Boston,16-8,16,8,322,85
Boston City Ward 16 Precinct 11,Boston,16-11,16,11,349,74
Boston City Ward 17 Precinct 4,Boston,17-4,17,4,248,204
Boston City Ward 17 Precinct 10,Boston,17-10,17,10,118,184
Boston City Ward 17 Precinct 11,Boston,17-11,17,11,67,76
Boston City Ward 17 Precinct 12,Boston,17-12,17,12,88,155
Boston City Ward 17 Precinct 13,Boston,17-13,17,13,217,174
Boston City Ward 17 Precinct 14,Boston,17-14,17,14,198,235
Boston City Ward 18 Precinct 1,Boston,18-1,18,1,225,250
Boston City Ward 18 Precinct 2,Boston,18-2,18,2,113,180
Boston City Ward 18 Precinct 3,Boston,18-3,18,3,159,259
Boston City Ward 18 Precinct 4,Boston,18-4,18,4,147,225
Boston City Ward 18 Precinct 5,Boston,18-5,18,5,217,257
Boston City Ward 18 Precinct 6,Boston,18-6,18,6,276,237
Boston City Ward 18 Precinct 21,Boston,18-21,18,21,235,215
Milton Town Precinct 1,Milton,1,-,1,314,241
Milton Town Precinct 2,Milton,2,-,2,374,196
