MATCH,District,Ward,Precinct,SH18_AScaccia,Gretchen Van Ness,SH18_SIdowu,Christopher Obi Nzenwa,Virak Uy
Boston City Ward 18 Precinct 9,18-9,18,9,133,107,122,40,14
Boston City Ward 18 Precinct 10,18-10,18,10,161,261,143,45,56
Boston City Ward 18 Precinct 11,18-11,18,11,87,74,82,35,21
Boston City Ward 18 Precinct 12,18-12,18,12,162,89,59,68,4
Boston City Ward 18 Precinct 13,18-13,18,13,79,66,47,25,1
Boston City Ward 18 Precinct 14,18-14,18,14,72,29,79,27,6
Boston City Ward 18 Precinct 15,18-15,18,15,103,62,124,47,7
Boston City Ward 18 Precinct 16,18-16,18,16,305,215,53,8,30
Boston City Ward 18 Precinct 17,18-17,18,17,163,108,67,49,17
Boston City Ward 18 Precinct 18,18-18,18,18,194,122,115,28,10
Boston City Ward 18 Precinct 19,18-19,18,19,259,104,160,52,8
Boston City Ward 18 Precinct 20,18-20,18,20,429,89,77,13,3
Boston City Ward 18 Precinct 22,18-22,18,22,204,133,81,47,26
Boston City Ward 18 Precinct 23,18-23,18,23,61,18,103,105,3
Boston City Ward 20 Precinct 3,20-3,20,3,165,82,61,17,7
Boston City Ward 20 Precinct 8,20-8,20,8,102,150,65,8,26
Boston City Ward 20 Precinct 9,20-9,20,9,108,142,81,12,16
