MATCH,City/Town,District,Ward,Precinct,SS13_LForry,SS13_NCollins,Maureen Dahill,Total Votes Cast
Boston Ward 1 Precinct 15,Boston,1-15,1,15,0,0,0,0
Boston Ward 6 Precinct 1,Boston,6-1,6,1,104,335,84,547
Boston Ward 6 Precinct 2,Boston,6-2,6,2,25,166,45,244
Boston Ward 6 Precinct 3,Boston,6-3,6,3,33,219,58,319
Boston Ward 6 Precinct 4,Boston,6-4,6,4,39,282,59,391
Boston Ward 6 Precinct 5,Boston,6-5,6,5,31,274,46,356
Boston Ward 6 Precinct 6,Boston,6-6,6,6,23,454,51,539
Boston Ward 6 Precinct 7,Boston,6-7,6,7,38,331,92,465
Boston Ward 6 Precinct 8,Boston,6-8,6,8,31,337,90,469
Boston Ward 6 Precinct 9,Boston,6-9,6,9,24,414,103,546
Boston Ward 7 Precinct 1,Boston,7-1,7,1,11,377,80,480
Boston Ward 7 Precinct 2,Boston,7-2,7,2,29,400,93,530
Boston Ward 7 Precinct 3,Boston,7-3,7,3,41,504,89,653
Boston Ward 7 Precinct 4,Boston,7-4,7,4,45,305,62,426
Boston Ward 7 Precinct 5,Boston,7-5,7,5,20,219,29,288
Boston Ward 7 Precinct 6,Boston,7-6,7,6,25,170,28,235
Boston Ward 7 Precinct 7,Boston,7-7,7,7,49,177,15,260
Boston Ward 7 Precinct 8,Boston,7-8,7,8,42,183,21,257
Boston Ward 7 Precinct 9,Boston,7-9,7,9,46,151,13,217
Boston Ward 7 Precinct 10,Boston,7-10,7,10,104,38,3,153
Boston City Ward 13 Precinct 3,Boston,13-3,13,3,90,61,5,170
Boston City Ward 13 Precinct 5,Boston,13-5,13,5,98,47,3,154
Boston City Ward 13 Precinct 6,Boston,13-6,13,6,132,98,13,250
Boston City Ward 13 Precinct 7,Boston,13-7,13,7,89,199,11,308
Boston City Ward 13 Precinct 8,Boston,13-8,13,8,90,104,9,209
Boston City Ward 13 Precinct 9,Boston,13-9,13,9,129,109,8,253
Boston City Ward 13 Precinct 10,Boston,13-10,13,10,290,284,17,606
Boston City Ward 14 Precinct 2,Boston,14-2,14,2,259,44,8,331
Boston City Ward 14 Precinct 4,Boston,14-4,14,4,116,26,6,156
Boston City Ward 14 Precinct 5,Boston,14-5,14,5,127,14,4,152
Boston City Ward 14 Precinct 12,Boston,14-12,14,12,83,12,4,107
Boston City Ward 14 Precinct 13,Boston,14-13,14,13,113,16,2,141
Boston City Ward 14 Precinct 14,Boston,14-14,14,14,156,22,8,193
Boston City Ward 15 Precinct 1,Boston,15-1,15,1,171,29,1,210
