MATCH,City/Town,District,Ward,Precinct,CONG18_APressley,CONG18_MCapuano
Boston Ward 1 Precinct 1,Boston,1-1,1,1,212,129
Boston Ward 1 Precinct 2,Boston,1-2,1,2,121,64
Boston Ward 1 Precinct 3,Boston,1-3,1,3,276,192
Boston Ward 1 Precinct 4,Boston,1-4,1,4,73,67
Boston Ward 1 Precinct 5,Boston,1-5,1,5,115,108
Boston Ward 1 Precinct 6,Boston,1-6,1,6,129,66
Boston Ward 1 Precinct 7,Boston,1-7,1,7,108,74
Boston Ward 1 Precinct 8,Boston,1-8,1,8,141,120
Boston Ward 1 Precinct 9,Boston,1-9,1,9,110,87
Boston Ward 1 Precinct 10,Boston,1-10,1,10,61,56
Boston Ward 1 Precinct 11,Boston,1-11,1,11,123,178
Boston Ward 1 Precinct 12,Boston,1-12,1,12,108,185
Boston Ward 1 Precinct 13,Boston,1-13,1,13,125,184
Boston Ward 1 Precinct 14,Boston,1-14,1,14,57,107
Boston Ward 1 Precinct 15,Boston,1-15,1,15,0,0
Boston Ward 2 Precinct 1,Boston,2-1,2,1,205,330
Boston Ward 2 Precinct 2,Boston,2-2,2,2,219,315
Boston Ward 2 Precinct 3,Boston,2-3,2,3,182,213
Boston Ward 2 Precinct 4,Boston,2-4,2,4,140,156
Boston Ward 2 Precinct 5,Boston,2-5,2,5,154,225
Boston Ward 2 Precinct 6,Boston,2-6,2,6,177,307
Boston Ward 2 Precinct 7,Boston,2-7,2,7,142,251
Boston Ward 3 Precinct 7,Boston,3-7,3,7,518,396
Boston Ward 3 Precinct 8,Boston,3-8,3,8,623,441
Boston Ward 4 Precinct 1,Boston,4-1,4,1,257,252
Boston Ward 4 Precinct 2,Boston,4-2,4,2,316,317
Boston Ward 4 Precinct 3,Boston,4-3,4,3,192,152
Boston Ward 4 Precinct 4,Boston,4-4,4,4,247,201
Boston Ward 4 Precinct 5,Boston,4-5,4,5,175,163
Boston Ward 4 Precinct 6,Boston,4-6,4,6,126,89
Boston Ward 4 Precinct 7,Boston,4-7,4,7,128,104
Boston Ward 4 Precinct 8,Boston,4-8,4,8,126,99
Boston Ward 4 Precinct 9,Boston,4-9,4,9,67,28
Boston Ward 4 Precinct 10,Boston,4-10,4,10,56,17
Boston Ward 5 Precinct 1,Boston,5-1,5,1,601,409
Boston Ward 5 Precinct 2,Boston,5-2,5,2,182,115
