MATCH,District,Ward,Precinct,MAY17_Jackson,MAY17_Walsh
Boston Ward 1 Precinct 1,1-1,1,1,162,315
Boston Ward 1 Precinct 2,1-2,1,2,98,189
Boston Ward 1 Precinct 3,1-3,1,3,233,453
Boston Ward 1 Precinct 4,1-4,1,4,59,162
Boston Ward 1 Precinct 5,1-5,1,5,87,254
Boston Ward 1 Precinct 6,1-6,1,6,81,219
Boston Ward 1 Precinct 7,1-7,1,7,76,251
Boston Ward 1 Precinct 8,1-8,1,8,124,337
Boston Ward 1 Precinct 9,1-9,1,9,90,248
Boston Ward 1 Precinct 10,1-10,1,10,31,152
Boston Ward 1 Precinct 11,1-11,1,11,100,433
Boston Ward 1 Precinct 12,1-12,1,12,129,383
Boston Ward 1 Precinct 13,1-13,1,13,144,468
Boston Ward 1 Precinct 14,1-14,1,14,61,247
Boston Ward 2 Precinct 1,2-1,2,1,130,632
Boston Ward 2 Precinct 2,2-2,2,2,164,686
Boston Ward 2 Precinct 3,2-3,2,3,128,431
Boston Ward 2 Precinct 4,2-4,2,4,110,417
Boston Ward 2 Precinct 5,2-5,2,5,98,467
Boston Ward 2 Precinct 6,2-6,2,6,143,671
Boston Ward 2 Precinct 7,2-7,2,7,103,450
Boston Ward 3 Precinct 1,3-1,3,1,233,832
Boston Ward 3 Precinct 2,3-2,3,2,118,325
Boston Ward 3 Precinct 3,3-3,3,3,96,395
Boston Ward 3 Precinct 4,3-4,3,4,101,439
Boston Ward 3 Precinct 5,3-5,3,5,213,430
Boston Ward 3 Precinct 6,3-6,3,6,214,506
Boston Ward 3 Precinct 7,3-7,3,7,297,911
Boston Ward 3 Precinct 8,3-8,3,8,220,"1,039"
Boston Ward 4 Precinct 1,4-1,4,1,179,478
Boston Ward 4 Precinct 2,4-2,4,2,205,488
Boston Ward 4 Precinct 3,4-3,4,3,122,295
Boston Ward 4 Precinct 4,4-4,4,4,163,295
Boston Ward 4 Precinct 5,4-5,4,5,122,215
Boston Ward 4 Precinct 6,4-6,4,6,95,178
Boston Ward 4 Precinct 7,4-7,4,7,85,164
Boston Ward 4 Precinct 8,4-8,4,8,90,171
Boston Ward 4 Precinct 9,4-9,4,9,55,66
Boston Ward 4 Precinct 10,4-10,4,10,34,27
Boston Ward 5 Precinct 1,5-1,5,1,251,998
Boston Ward 5 Precinct 2,5-2,5,2,101,150
Boston Ward 5 Precinct 2A,5-2A,5,2A,42,111
Boston Ward 5 Precinct 3,5-3,5,3,111,232
Boston Ward 5 Precinct 4,5-4,5,4,116,248
Boston Ward 5 Precinct 5,5-5,5,5,67,168
Boston Ward 5 Precinct 6,5-6,5,6,110,239
Boston Ward 5 Precinct 7,5-7,5,7,133,349
Boston Ward 5 Precinct 8,5-8,5,8,94,308
Boston Ward 5 Precinct 9,5-9,5,9,147,291
Boston Ward 5 Precinct 10,5-10,5,10,90,195
Boston Ward 5 Precinct 11,5-11,5,11,83,236
Boston Ward 6 Precinct 1,6-1,6,1,235,712
Boston Ward 6 Precinct 2,6-2,6,2,77,285
Boston Ward 6 Precinct 3,6-3,6,3,61,324
Boston Ward 6 Precinct 4,6-4,6,4,92,371
Boston Ward 6 Precinct 5,6-5,6,5,82,334
Boston Ward 6 Precinct 6,6-6,6,6,60,448
Boston Ward 6 Precinct 7,6-7,6,7,94,368
