BOSMAY17G_TJackson,BOSMAY17G_MWalsh,SH18P_Suff14_SIdowu,SH18P_Suff14_AScaccia,SH18P_Suff12_DCullinane,SH18P_Suff12_JLacet,SH16P_Suff12_DCullinane,SH16P_Suff12_JLacet,SH18P_Suff11_EMalia,SH18P_Suff11_CClemons,USH18P_7_APressley,USH18P_7_MCapuano,SS08P_Suff2_SChangDiaz,SS08P_Suff2_DWilkerson,SS13P_Suff1_LForry,SS13P_Suff1_NCollins,NAMELSAD,NAMELSAD20
162.0,315,,,,,,,,,212.0,129.0,,,,,Boston Ward 1 Precinct 1,0101
98.0,189,,,,,,,,,121.0,64.0,,,,,Boston Ward 1 Precinct 2,0102
233.0,453,,,,,,,,,276.0,192.0,,,,,Boston Ward 1 Precinct 3,0103
59.0,162,,,,,,,,,73.0,67.0,,,,,Boston Ward 1 Precinct 4,0104
87.0,254,,,,,,,,,115.0,108.0,,,,,Boston Ward 1 Precinct 5,0105
81.0,219,,,,,,,,,129.0,66.0,,,,,Boston Ward 1 Precinct 6,0106
76.0,251,,,,,,,,,108.0,74.0,,,,,Boston Ward 1 Precinct 7,0107
124.0,337,,,,,,,,,141.0,120.0,,,,,Boston Ward 1 Precinct 8,0108
90.0,248,,,,,,,,,110.0,87.0,,,,,Boston Ward 1 Precinct 9,0109
31.0,152,,,,,,,,,61.0,56.0,,,,,Boston Ward 1 Precinct 10,0110
100.0,433,,,,,,,,,123.0,178.0,,,,,Boston Ward 1 Precinct 11,0111
129.0,383,,,,,,,,,108.0,185.0,,,,,Boston Ward 1 Precinct 12,0112
144.0,468,,,,,,,,,125.0,184.0,,,,,Boston Ward 1 Precinct 13,0113
61.0,247,,,,,,,,,57.0,107.0,,,,,Boston Ward 1 Precinct 14,0114
130.0,632,,,,,,,,,205.0,330.0,,,,,Boston Ward 2 Precinct 1,0201
164.0,686,,,,,,,,,219.0,315.0,,,,,Boston Ward 2 Precinct 2,0202
128.0,431,,,,,,,,,182.0,213.0,,,,,Boston Ward 2 Precinct 3,0203
110.0,417,,,,,,,,,140.0,156.0,,,,,Boston Ward 2 Precinct 4,0204
98.0,467,,,,,,,,,154.0,225.0,,,,,Boston Ward 2 Precinct 5,0205
143.0,671,,,,,,,,,177.0,307.0,,,,,Boston Ward 2 Precinct 6,0206
103.0,450,,,,,,,,,142.0,251.0,,,,,Boston Ward 2 Precinct 7,0207
233.0,832,,,,,,,,,,,,,,,Boston Ward 3 Precinct 1,0301
118.0,325,,,,,,,,,,,,,,,Boston Ward 3 Precinct 2,0302
96.0,395,,,,,,,,,,,,,,,Boston Ward 3 Precinct 3,0303
101.0,439,,,,,,,,,,,,,,,Boston Ward 3 Precinct 4,0304
213.0,430,,,,,,,,,,,,,,,Boston Ward 3 Precinct 5,0305
214.0,506,,,,,,,,,,,,,,,Boston Ward 3 Precinct 6,0306
