NAME,Precinct ID,City/Town,Ward,Pct,Andres Vargas,Shaun Toohey,All Others,Blanks,Total Votes Cast
Haverhill City Ward 1 Precinct 1,Haverhill Town Precinct 1-1,Haverhill,1,1,151,118,2,0,271
Haverhill City Ward 1 Precinct 2,Haverhill Town Precinct 1-2,Haverhill,1,2,323,139,1,7,470
Haverhill City Ward 1 Precinct 3,Haverhill Town Precinct 1-3,Haverhill,1,3,223,198,0,8,429
Haverhill City Ward 2 Precinct 3,Haverhill Town Precinct 2-3,Haverhill,2,3,183,97,3,0,283
Haverhill City Ward 3 Precinct 1,Haverhill Town Precinct 3-1,Haverhill,3,1,208,48,3,0,259
Haverhill City Ward 3 Precinct 2,Haverhill Town Precinct 3-2,Haverhill,3,2,257,136,1,3,397
Haverhill City Ward 3 Precinct 3,Haverhill Town Precinct 3-3,Haverhill,3,3,254,194,0,1,449
Haverhill City Ward 4 Precinct 1,Haverhill Town Precinct 4-1,Haverhill,4,1,348,362,2,0,712
Haverhill City Ward 4 Precinct 2,Haverhill Town Precinct 4-2,Haverhill,4,2,381,426,1,4,812
Haverhill City Ward 5 Precinct 1,Haverhill Town Precinct 5-1,Haverhill,5,1,303,277,1,0,581
Haverhill City Ward 5 Precinct 3,Haverhill Town Precinct 5-3,Haverhill,5,3,333,496,1,7,837
Haverhill City Ward 6 Precinct 1,Haverhill Town Precinct 6-1,Haverhill,6,1,247,245,1,2,495
Haverhill City Ward 6 Precinct 2,Haverhill Town Precinct 6-2,Haverhill,6,2,355,341,5,9,710
Haverhill City Ward 6 Precinct 3,Haverhill Town Precinct 6-3,Haverhill,6,3,325,326,3,8,662
