NAME,Precinct ID,City/Town,Ward,Pct,Lori Trahan,Daniel Koh,Barbara L'Italien,Juana Matias,Rufus Gifford,Alexandra Chandler,Beej Das,Jeffrey Ballinger,Bopha Malone,Leonard Golder,All Others,Blanks,Total Votes Cast
Acton Town Precinct 1,Acton Town Precinct 1,Acton,-,1,71,109,108,25,114,52,21,6,5,5,0,10,526
Acton Town Precinct 2,Acton Town Precinct 2,Acton,-,2,113,135,111,37,167,50,21,8,1,3,0,11,657
Acton Town Precinct 3,Acton Town Precinct 3,Acton,-,3,100,109,191,60,158,103,9,14,1,5,0,6,756
Acton Town Precinct 4,Acton Town Precinct 4,Acton,-,4,93,145,174,32,152,121,13,2,3,2,0,5,742
Acton Town Precinct 5,Acton Town Precinct 5,Acton,-,5,109,84,112,53,197,92,15,4,8,6,0,8,688
Acton Town Precinct 6,Acton Town Precinct 6,Acton,-,6,98,91,105,28,134,73,12,3,7,1,1,7,560
Andover Town Precinct 2,Andover Town Precinct 2,Andover,-,2,56,335,155,43,33,10,7,7,1,1,0,9,657
Andover Town Precinct 3,Andover Town Precinct 3,Andover,-,3,68,302,218,36,42,6,12,13,13,3,1,11,725
Andover Town Precinct 4,Andover Town Precinct 4,Andover,-,4,65,229,167,14,34,13,10,7,2,1,1,4,547
Andover Town Precinct 5,Andover Town Precinct 5,Andover,-,5,71,237,194,16,25,10,18,9,2,0,5,5,592
Andover Town Precinct 6,Andover Town Precinct 6,Andover,-,6,73,250,125,19,33,8,11,15,0,0,0,9,543
Andover Town Precinct 7,Andover Town Precinct 7,Andover,-,7,51,243,130,15,15,6,6,11,2,0,5,5,489
Andover Town Precinct 9,Andover Town Precinct 9,Andover,-,9,74,254,158,16,24,11,10,7,0,1,0,7,562
Ashburnham Town Precinct 1,Ashburnham Town Precinct 1,Ashburnham,-,1,84,170,78,22,157,23,6,13,4,7,2,16,582
Ashby Town Precinct 1,Ashby Town Precinct 1,Ashby,-,1,46,60,56,44,61,27,2,7,3,4,0,9,319
Ayer Town Precinct 1,Ayer Town Precinct 1,Ayer,-,1,108,81,86,29,51,40,7,8,10,2,0,8,430
Ayer Town Precinct 2,Ayer Town Precinct 2,Ayer,-,2,111,80,58,24,52,25,7,8,9,2,0,13,389
Berlin Town Precinct 1,Berlin Town Precinct 1,Berlin,-,1,70,75,75,35,119,35,0,5,1,7,0,11,433
Bolton Town Precinct 1,Bolton Town Precinct 1,Bolton,-,1,125,213,165,34,81,74,5,3,1,19,0,22,742
Boxborough Town Precinct 1,Boxborough Town Precinct 1,Boxborough,-,1,126,172,163,54,144,116,11,8,2,10,1,14,821
Carlisle Town Precinct 1,Carlisle Town Precinct 1,Carlisle,-,1,200,222,196,58,319,73,18,7,24,3,0,19,"1,139"
Chelmsford Town Precinct 1,Chelmsford Town Precinct 1,Chelmsford,-,1,238,81,69,21,102,17,11,1,5,2,0,8,555
Chelmsford Town Precinct 2,Chelmsford Town Precinct 2,Chelmsford,-,2,162,84,55,13,44,21,13,4,9,2,0,11,418
Chelmsford Town Precinct 3,Chelmsford Town Precinct 3,Chelmsford,-,3,226,92,74,23,62,28,10,9,19,5,0,7,555
Chelmsford Town Precinct 4,Chelmsford Town Precinct 4,Chelmsford,-,4,187,80,35,15,74,19,7,6,5,1,0,4,433
Chelmsford Town Precinct 5,Chelmsford Town Precinct 5,Chelmsford,-,5,160,79,66,22,82,23,5,4,7,1,0,4,453
