NAME,Precinct ID,City/Town,Ward,Pct,Barbara L'Italien,Pavel Payano,Doris Rodriguez,All Others,Blanks,Total Votes Cast
Andover Town Precinct 1,Andover Town Precinct 1,Andover,-,1,272,45,32,0,25,374
Andover Town Precinct 2,Andover Town Precinct 2,Andover,-,2,281,40,28,0,27,376
Andover Town Precinct 3,Andover Town Precinct 3,Andover,-,3,306,51,20,0,18,395
Andover Town Precinct 4,Andover Town Precinct 4,Andover,-,4,239,46,31,0,22,338
Andover Town Precinct 5,Andover Town Precinct 5,Andover,-,5,234,38,15,1,15,303
Andover Town Precinct 6,Andover Town Precinct 6,Andover,-,6,226,37,20,2,20,305
Andover Town Precinct 7,Andover Town Precinct 7,,,,251,44,37,0,21,353
Andover Town Precinct 8,Andover Town Precinct 8,Andover,-,8,287,56,36,0,19,398
Andover Town Precinct 9,Andover Town Precinct 9,,,,278,48,27,0,36,389
Dracut Town Precinct 1,Dracut Town Precinct 1,Dracut,-,1,99,16,24,0,18,157
Dracut Town Precinct 2,Dracut Town Precinct 2,Dracut,-,2,137,17,30,0,13,197
Dracut Town Precinct 3,Dracut Town Precinct 3,Dracut,-,3,195,25,24,0,38,282
Dracut Town Precinct 4,Dracut Town Precinct 4,Dracut,-,4,158,22,27,0,26,233
Dracut Town Precinct 5,Dracut Town Precinct 5,Dracut,-,5,153,22,31,0,25,231
Dracut Town Precinct 6,Dracut Town Precinct 6,,,,189,22,39,0,29,279
Dracut Town Precinct 7,Dracut Town Precinct 7,Dracut,-,7,138,20,19,0,21,198
Dracut Town Precinct 8,Dracut Town Precinct 8,Dracut,-,8,210,33,27,0,41,311
Dracut Town Precinct 9,Dracut Town Precinct 9,Dracut,-,9,169,21,34,0,29,253
Lawrence City Ward A Precinct 1,Lawrence Town Precinct A-1,Lawrence,A,1,64,146,18,0,9,237
Lawrence City Ward A Precinct 2,Lawrence Town Precinct A-2,Lawrence,A,2,13,126,23,1,5,168
Lawrence City Ward A Precinct 3,Lawrence Town Precinct A-3,Lawrence,A,3,47,92,22,0,11,172
Lawrence City Ward A Precinct 4,Lawrence Town Precinct A-4,Lawrence,A,4,50,118,29,0,7,204
Lawrence City Ward B Precinct 1,Lawrence Town Precinct B-1,Lawrence,B,1,88,225,32,1,28,374
Lawrence City Ward B Precinct 2,Lawrence Town Precinct B-2,Lawrence,B,2,17,193,30,0,4,244
Lawrence City Ward B Precinct 3,Lawrence Town Precinct B-3,Lawrence,B,3,28,189,31,0,10,258
Lawrence City Ward B Precinct 4,Lawrence Town Precinct B-4,Lawrence,B,4,32,315,37,0,12,396
Lawrence City Ward C Precinct 1,Lawrence Town Precinct C-1,Lawrence,C,1,28,130,16,0,5,179
Lawrence City Ward C Precinct 2,Lawrence Town Precinct C-2,Lawrence,C,2,68,170,11,3,5,257
Lawrence City Ward C Precinct 3,Lawrence Town Precinct C-3,Lawrence,C,3,22,162,29,0,7,220
Lawrence City Ward C Precinct 4,Lawrence Town Precinct C-4,Lawrence,C,4,35,194,37,0,8,274
Lawrence City Ward D Precinct 1,Lawrence Town Precinct D-1,Lawrence,D,1,34,138,22,0,6,200
Lawrence City Ward D Precinct 2,Lawrence Town Precinct D-2,Lawrence,D,2,23,191,22,0,4,240
Lawrence City Ward D Precinct 3,Lawrence Town Precinct D-3,Lawrence,D,3,18,152,30,0,8,208
Lawrence City Ward D Precinct 4,Lawrence Town Precinct D-4,Lawrence,D,4,14,147,21,1,21,204
Lawrence City Ward E Precinct 1,Lawrence Town Precinct E-1,Lawrence,E,1,170,134,40,0,20,364
Lawrence City Ward E Precinct 2,Lawrence Town Precinct E-2,Lawrence,E,2,133,135,29,0,7,304
Lawrence City Ward E Precinct 3,Lawrence Town Precinct E-3,Lawrence,E,3,55,128,25,0,16,224
Lawrence City Ward E Precinct 4,Lawrence Town Precinct E-4,Lawrence,E,4,50,156,27,1,14,248
Lawrence City Ward F Precinct 1,Lawrence Town Precinct F-1,Lawrence,F,1,153,95,19,1,13,281
Lawrence City Ward F Precinct 2,Lawrence Town Precinct F-2,Lawrence,F,2,25,113,27,2,4,171
Lawrence City Ward F Precinct 3,Lawrence Town Precinct F-3,Lawrence,F,3,19,115,21,0,5,160
Lawrence City Ward F Precinct 4,Lawrence Town Precinct F-4,Lawrence,F,4,66,127,24,1,3,221
Tewksbury Town Precinct 1,,,,,421,65,51,4,86,627
Tewksbury Town Precinct 2,,,,,348,55,45,2,83,533
Tewksbury Town Precinct 3,,,,,436,59,45,2,57,599
Tewksbury Town Precinct 4,,,,,478,68,42,0,102,690
