NAME,Precinct ID,City/Town,Ward,Pct,Barry Finegold,Mike Armano,Pavel Payano,All Others,Blanks,Total Votes Cast
Andover Town Precinct 1,Andover Town Precinct 1,Andover,-,1,314,116,75,0,35,540
Andover Town Precinct 2,Andover Town Precinct 2,Andover,-,2,399,134,65,1,58,657
Andover Town Precinct 3,Andover Town Precinct 3,Andover,-,3,431,189,52,2,51,725
Andover Town Precinct 4,Andover Town Precinct 4,Andover,-,4,358,109,38,1,41,547
Andover Town Precinct 5,Andover Town Precinct 5,Andover,-,5,395,114,47,1,35,592
Andover Town Precinct 6,Andover Town Precinct 6,Andover,-,6,358,105,40,1,39,543
Andover Town Precinct 7,,,,,374,93,56,1,40,564
Andover Town Precinct 8,Andover Town Precinct 8,Andover,-,8,324,88,36,2,23,473
Andover Town Precinct 9,Andover Town Precinct 9,Andover,-,9,344,99,54,0,65,562
Dracut Town Precinct 1,Dracut Town Precinct 1,Dracut,-,1,152,160,27,1,39,379
Dracut Town Precinct 2,Dracut Town Precinct 2,Dracut,-,2,132,187,21,0,34,374
Dracut Town Precinct 3,Dracut Town Precinct 3,Dracut,-,3,186,245,14,1,46,492
Dracut Town Precinct 4,Dracut Town Precinct 4,Dracut,-,4,185,284,22,0,54,545
Dracut Town Precinct 5,Dracut Town Precinct 5,Dracut,-,5,176,228,22,3,23,452
Dracut Town Precinct 6,,,,,196,201,33,1,76,507
Dracut Town Precinct 7,Dracut Town Precinct 7,Dracut,-,7,124,217,20,2,52,415
Dracut Town Precinct 8,Dracut Town Precinct 8,Dracut,-,8,259,388,24,1,40,712
Dracut Town Precinct 9,Dracut Town Precinct 9,Dracut,-,9,186,265,22,0,55,528
Lawrence City Ward A Precinct 1,Lawrence Town Precinct A-1,Lawrence,A,1,126,82,163,4,37,412
Lawrence City Ward A Precinct 2,Lawrence Town Precinct A-2,Lawrence,A,2,82,61,126,0,84,353
Lawrence City Ward A Precinct 3,Lawrence Town Precinct A-3,Lawrence,A,3,81,122,114,0,35,352
Lawrence City Ward A Precinct 4,Lawrence Town Precinct A-4,Lawrence,A,4,88,115,131,0,48,382
Lawrence City Ward B Precinct 1,Lawrence Town Precinct B-1,Lawrence,B,1,164,112,198,1,142,617
Lawrence City Ward B Precinct 2,Lawrence Town Precinct B-2,Lawrence,B,2,86,58,113,2,88,347
Lawrence City Ward B Precinct 3,Lawrence Town Precinct B-3,Lawrence,B,3,108,66,154,0,79,407
Lawrence City Ward B Precinct 4,Lawrence Town Precinct B-4,Lawrence,B,4,160,67,154,0,220,601
Lawrence City Ward C Precinct 1,Lawrence Town Precinct C-1,Lawrence,C,1,77,61,123,2,45,308
Lawrence City Ward C Precinct 2,Lawrence Town Precinct C-2,Lawrence,C,2,125,107,162,1,48,443
Lawrence City Ward C Precinct 3,Lawrence Town Precinct C-3,Lawrence,C,3,75,48,125,1,87,336
Lawrence City Ward C Precinct 4,Lawrence Town Precinct C-4,Lawrence,C,4,115,59,193,1,134,502
Lawrence City Ward D Precinct 1,Lawrence Town Precinct D-1,Lawrence,D,1,99,113,133,0,35,380
Lawrence City Ward D Precinct 2,Lawrence Town Precinct D-2,Lawrence,D,2,81,112,129,0,54,376
Lawrence City Ward D Precinct 3,Lawrence Town Precinct D-3,Lawrence,D,3,85,64,99,5,82,335
Lawrence City Ward D Precinct 4,Lawrence Town Precinct D-4,Lawrence,D,4,87,58,100,1,71,317
Lawrence City Ward E Precinct 1,Lawrence Town Precinct E-1,Lawrence,E,1,205,164,149,0,41,559
Lawrence City Ward E Precinct 2,Lawrence Town Precinct E-2,Lawrence,E,2,191,218,128,2,44,583
Lawrence City Ward E Precinct 3,Lawrence Town Precinct E-3,Lawrence,E,3,112,90,96,0,52,350
Lawrence City Ward E Precinct 4,Lawrence Town Precinct E-4,Lawrence,E,4,149,90,140,1,89,469
Lawrence City Ward F Precinct 1,Lawrence Town Precinct F-1,Lawrence,F,1,157,141,88,3,36,425
Lawrence City Ward F Precinct 2,Lawrence Town Precinct F-2,Lawrence,F,2,100,56,139,1,50,346
Lawrence City Ward F Precinct 3,Lawrence Town Precinct F-3,Lawrence,F,3,93,74,122,0,77,366
Lawrence City Ward F Precinct 4,Lawrence Town Precinct F-4,Lawrence,F,4,107,105,102,1,45,360
Tewksbury Town Precinct 1,,,,,424,229,60,3,52,768
Tewksbury Town Precinct 2,,,,,402,245,53,2,78,780
Tewksbury Town Precinct 3,,,,,423,232,67,0,40,762
Tewksbury Town Precinct 4,,,,,539,255,69,1,121,985
